iter	Passed	Remaining
0	1	167
1	3	154
2	4	147
3	5	134
4	7	133
5	8	131
6	9	129
7	11	127
8	13	134
9	14	132
10	16	130
11	17	128
12	18	125
13	20	123
14	21	121
15	22	119
16	24	117
17	26	118
18	27	116
19	28	114
20	30	113
21	31	110
22	32	108
23	100	317
24	101	305
25	103	293
26	105	284
27	106	273
28	109	268
29	111	259
30	112	250
31	113	241
32	115	233
33	117	227
34	119	221
35	120	214
36	122	208
37	123	202
38	125	195
39	126	190
40	129	185
41	129	179
42	131	173
43	132	168
44	134	163
45	135	158
46	136	153
47	137	148
48	138	143
49	139	139
50	140	135
51	142	131
52	143	126
53	144	122
54	144	118
55	145	114
56	146	110
57	147	107
58	148	103
59	149	99
60	150	96
61	151	92
62	152	89
63	153	86
64	154	83
65	156	80
66	157	77
67	159	74
68	160	72
69	167	71
70	169	69
71	173	67
72	177	65
73	181	63
74	191	63
75	195	61
76	197	58
77	198	56
78	200	53
79	201	50
80	203	47
81	204	44
82	205	42
83	206	39
84	208	36
85	209	34
86	210	31
87	211	28
88	213	26
89	214	23
90	215	21
91	217	18
92	218	16
93	219	14
94	220	11
95	221	9
96	223	6
97	223	4
98	225	2
99	226	0
